54,"Quais são os passos ideais para realizar Open Source Intelligence?", "Criar perfis falsos de usuário para coleta de informações, realizar varredura de portas em redes corporativas, disseminar fake news", "Garantir o anonimato na internet com o uso de proxies e VPNs, manipular dados, criar contas falsas em redes sociais para coleta de informações", "Utilizar senhas fracas para invadir banco de dados, compartilhar informações pessoais em fóruns e comunidades online", "Coleta de fontes para busca, coleta de dados, processamento das informações, análise das informações e por fim a conclusão das informações", "Atacar servidores para capturar informações, realizar ameaças e chantagens, burlar sistemas de segurança", 4
55,"O que são rastros deixados na Internet segundo o conteúdo de Open Source Intelligence?", "Informações sobre dispositivos conectados na internet", "Arquivos temporários de sistemas operacionais", "Histórico de navegação, tamanhos de tela, sistema operacional", "Logs de segurança em bancos de dados", "Registros de transações em sistemas de pagamento", 3
56,"Quais são as vantagens do Open Source Intelligence?", "Utilização de métodos ilegais para coleta de informações", "Informações encontradas já estão disponíveis, mais seguras e acessíveis", "Realização de ataques cibernéticos e invasões de privacidade", "Difusão de boatos e notícias falsas", "Manipulação de resultados em sistemas de busca", 2
57,"Quais são os comandos do Google Hacking mais utilizados?", "intitle, inurl, filetype", "search, seek, lookfor", "find, locate, scanfor", "searchfor, query, websearch", "track, trace, hunt", 1
58,"O que são dorks referenciados no conteúdo de Google Hacking?", "Termos de busca utilizados no Google", "Códigos de programação", "Comandos de shell scripting", "Metadados de arquivos", "Comandos de sistemas operacionais", 1
59,"Como é utilizada a técnica de Google Hacking na busca de informações?", "Para realizar ataques virtuais", "Para divulgação de notícias falsas", "Para descobrir novas tecnologias e inovações", "Para encontrar vulnerabilidades e informações públicas a seu favor", "Para manipulação de resultados em sistemas de busca", 4
60,"Quais são as principais fontes utilizadas para o Open Source Intelligence?", "Sites de busca, redes sociais, blogs, deep web", "Jogos, programas de TV, música", "Aplicativos de mensagens", "E-books, revistas científicas, jornais impressos", "Vlogs, podcasts, websites de fofoca", 1
61,"O que são os rastros deixados na Internet mencionados no OSINT?", "Informações sensíveis compartilhadas por engano", "Vírus e malware que infectam computadores", "Registros de atividades na rede, como histórico de navegação", "Ataques de hackers", "Conteúdo ilegal compartilhado em fóruns clandestinos", 3
62,"Quais os passos a serem realizados no OSINT?", "Coleta de fontes, instalação de programas, estudo da deep web, ativação do firewall, análise das informações coletadas", "Coleta de fontes para busca, coleta de dados, análise das informações, desativação de cookies, conclusão das informações", "Coleta de fontes para busca, coleta de dados, processamento das informações, análise das informações, conclusão das informações", "Criação de perfis falsos para coleta de dados, execução de ataques DDoS, hacking de redes sociais, publicação dos resultados", "Coleta de dados, análise forense, interceptação de dados, disseminação de fake news", 3
63,"O que é Google Hacking e como é utilizado?", "Ataques virtuais tendo como alvo o buscador do Google", "Uso do Google para descobrir vulnerabilidades em sistemas de segurança", "Utilização das pesquisas do Google e informações públicas a seu favor", "Técnica de marketing digital utilizando SEO", "Técnica de otimização de servidores web e bancos de dados", 3
64,"O que a VPN faz em relação ao tráfego de dados pela rede?", "Encapsula e manter seguro os dados quando trafegam pela rede", "Coleta e monitora as requisições feitas pelo cliente", "Roteia as requisições para os servidores corretos", "Bloqueia o tráfego de dados", "Processa os dados antes de enviá-los ao destinatário", 1
65,"Qual é a vantagem principal da VPN em relação às informações encontradas?", "As informações encontradas já estão disponíveis, portanto são mais seguras e acessíveis", "Proporciona um meio seguro de transmissão de dados", "Possibilita a filtragem de conteúdo e provimento de anonimato", "Atua como intermediador de conexões, mas sem garantir a segurança dos dados", "Permite a realização de ataques virtuais", 2
66,"Qual é a relação da provedora de internet com as conexões na internet?", "Intermediar a conexão entre o servidor e o dispositivo", "Criptografar e manter seguro os dados quando trafegam pela rede", "Gerenciar o tráfego de dados do servidor para o cliente", "Implementar firewall para bloquear requisições maliciosas", "Armazenar os dados do cliente de forma segura", 1
67,"Como a VPN difere do proxy em relação ao tráfego do sistema operacional?", "A VPN intercepta e criptografa todo o tráfego do sistema operacional", "A VPN redireciona as requisições do sistema operacional para os servidores", "O proxy intercepta e criptografa todo o tráfego do sistema operacional", "O proxy redireciona as requisições do sistema operacional para os servidores", "A VPN atua apenas como intermediador de conexões", 1
68,"Qual é o objetivo da utilização de um proxy?", "Rastrear as atividades do usuário na internet", "Capturar e monitorar as requisições dos clientes", "Filtrar conteúdo ou providenciar anonimato", "Compartilhar informações confidenciais", "Interceptar e criptografar os dados do cliente", 3
69,"Quais são os tipos de servidores proxy existentes?", "browser e proxychains", "http e gui", "ftp e smtp", "http e socks", "https e tcp", 4
70,"Qual é a finalidade de um servidor proxy do tipo SOCKS?", "Servir páginas web via browser", "Executar e-mails via cliente de e-mail", "Permitir a execução de qualquer tipo de protocolo (http, smtp, ftp, etc)", "Realizar transferências de arquivos via ftp", "Filtrar páginas web via browser", 3
71,"Qual é a importância de desconectar a opção proxy_dns no arquivo de configuração do proxychains?", "Rastrear o tráfego de DNS dos usuários", "Interceptar requisições de DNS dos servidores", "Permitir que aconteça o encapsulamento do DNS", "Evitar o monitoramento das requisições de DNS", "Impedir o redirecionamento das requisições de DNS", 3
72,"Que comando deve ser utilizado no terminal para inserir a aplicação Firefox no proxychains?", "proxychains -i firefox", "inserir firefox proxychains", "proxychains firefox", "add firefox proxychains", "connect firefox proxychains", 3
73,"Que opção no arquivo de configuração do proxychains permite que a conexão final não seja realizada caso um deles não funcione?", "random chain", "dynamic chain", "randomize chain", "distinct chain", "strict chain", 5
74,"Como é possível acessar domínios .onion através do navegador Tor?", "Vulnerabilidades de redes públicas", "Métodos de criptografia de dados", "Filtragem de conteúdo por provedores de serviço", "Criptografia de tráfego com múltiplos servidores intermediando a conexão", "Vulnerabilidades técnicas em servidores DNS", 4
75,"Qual é a relação da rede Tor com a requisição de DNS do cliente?", "A requisição DNS do cliente não acontece", "A requisição DNS do cliente é interceptada pelo servidor tor", "A requisição DNS passa diretamente pelo servidor tor", "A requisição DNS passa por um único servidor intermediário na rede tor", "A requisição DNS passa por múltiplos servidores intermediários antes de chegar ao servidor de destino", 1
76,"O que é um relay na rede Tor?", "Um servidor intermediário que recebe a requisição DNS do cliente", "Um servidor intermediário que encaminha o tráfego do cliente para o servidor de destino", "Um servidor intermediário utilizado para criptografar tráfego de DNS", "Um servidor intermediário que encaminha tráfego através de múltiplas conexões", "Um servidor intermediário que utiliza VPN para proteger tráfego de dados", 4
77,"Qual é a finalidade dos relays na rede Tor?", "Manter o registro do tráfego de dados para fins de auditoria", "Intermediar a conexão entre cliente e servidor", "Cifrar as requisições de DNS do cliente", "Bloquear o tráfego de dados indevidos", "Monitorar o tráfego de dados dos usuários", 2
78,"O que significa a conexão ser realizada em strict chain no proxychains?", "A conexão falhará caso um dos proxys não funcione", "A conexão será realizada de forma aleatória", "Os proxys serão utilizados sequencialmente", "Os proxys serão utilizados de forma dinâmica", "A conexão será realizada de forma aleatória", 1
79,"Quais são as desvantagens de se utilizar vários relays na rede Tor?", "Aumento da segurança e privacidade dos usuários", "Ruído no tráfego de dados tornando a conexão mais lenta", "Aumento da velocidade de conexão entre cliente e servidor", "Diminuição do número de relays necessários para tornar a navegação mais anônima", "Redução do tráfego de dados tornando a navegação mais ágil", 2
80,"O que acontece com a requisição da DNS do cliente quando trafega pela rede Tor?", "Não acontece uma requisição DNS do cliente", "A requisição DNS é criptografada e passa por todos os relays até chegar no servidor de destino", "A requisição DNS é encaminhada de forma direta para o servidor de destino", "A requisição DNS passa por apenas um relay antes de chegar no servidor de destino", "A requisição DNS passa por múltiplos servidores intermediários antes de chegar ao servidor de destino", 1
81,"Qual é a finalidade da criptografia de tráfego na rede Tor?", "Garantir que os dados trafeguem sem proteção pela rede", "Proteger a identidade e privacidade dos usuários durante a navegação na internet", "Bloquear o tráfego de dados indevidos na rede", "Criptografar o tráfego para aumentar a velocidade de navegação", "Encriptar dados para fins de rastreamento e monitoramento", 2
82,"Em relação à navegação anônima, por que o aumento da quantidade de relays pode tornar a conexão mais lenta?", "Porque o número de relays interfere na criptografia do tráfego", "Porque os relays causam uma sobrecarga na rede", "Porque o aumento da quantidade de relays aumenta o número de etapas para alcançar o servidor de destino", "Porque a conexão passa por múltiplos servidores intermediários, tornando a navegação mais lenta", "Porque a rede Tor é mais lenta inicialmente e piora com um maior número de relays", 4
83,"O que é o protocolo TLS e qual é seu papel na rede Tor?", "Protocolo para garantir a identidade e privacidade dos usuários durante a navegação na internet", "Protocolo para proporcionar anonimato durante a navegação em redes públicas", "Protocolo para realizar a conexão criptografada entre os relays da rede Tor", "Protocolo para aumentar a velocidade de navegação por meio de servidores intermediários", "Protocolo para criptografar e proteger o tráfego de dados enviados através de uma conexão", 5
84,"O que significa onion proxy na rede Tor?", "Um servidor que protege a rede Tor de ataques virtuais", "Um servidor responsável por criptografar o tráfego do cliente entre os relays", "Um servidor que realiza a requisição DNS do cliente durante a navegação na rede", "Um servidor que bloqueia o tráfego de dados indevidos na rede", "Um servidor designado para fornecer acessos a sites .onion, acessados apenas através desse navegador", 5
85,"Qual é a função atribuída aos servidores públicos que se iniciam junto com o proxy da rede Tor?", "Desempenhar a tarefa de intermediar a conexão entre cliente e servidor", "Criptografar e manter seguro os dados quando trafegam pela rede", "Manter o registro do tráfego de dados para fins de auditoria", "A palavra proxy se refere a recursos que são instalados junto ao servidor da rede Tor", "Realizar a proteção da identidade e privacidade dos usuários durante a navegação na internet", 1
86,"O que é o tor?", "Um protocolo para assegurar a privacidade dos usuários durante a navegação na internet", "Uma ferramenta que realiza a criptografia e proteção do tráfego de dados na rede Tor", "Uma rede destinada a proporcionar anonimato durante a navegação em redes públicas", "Um navegador desenvolvido para proteger a identidade e privacidade dos usuários durante a navegação na internet", "A rede em si formada por vários relays, destinada a proporcionar anonimato durante a navegação em redes públicas", 5
87,"O que é um relay na rede Tor?", "Um servidor intermediário que recebe a requisição DNS do cliente", "Um servidor intermediário que encaminha o tráfego do cliente para o servidor de destino", "Um servidor intermediário utilizado para criptografar tráfego de DNS", "Um servidor intermediário que encaminha tráfego através de múltiplas conexões", "Um servidor intermediário que utiliza VPN para proteger tráfego de dados", 4
88,"Por que o Tails é considerado um sistema operacional que garante anonimato e segurança para o usuário?", "Porque roda todos os dados na memória RAM", "Porque utiliza um sistema de encriptação avançado", "Porque registra todas as atividades do usuário de forma anônima", "Porque monitora todo o tráfego de dados na rede", "Porque substitui a maior parte da memória RAM ao desligar o computador, evitando análises indevidas", 1
89,"Qual é a importância de inicializar o Tails por meio de um pendrive?", "Evitar a instalação de programas maliciosos no computador", "Garantir que os dados sejam salvos de forma segura no sistema", "Proteger o sistema contra invasões externas", "Garantir a máxima segurança e anonimato possível", "Evitar que os dados sejam rastreados e analisados", 4
90,"Por que o Tails força a utilização da navegação HTTPS e SSL?", "Para acelerar a transmissão de dados na rede", "Para garantir a segurança das conexões e a proteção dos dados", "Para permitir a identificação dos usuários na rede", "Para fornecer uma navegação sem restrições de conteúdo", "Para proporcionar uma navegação sem riscos de segurança", 2
91,"Por que o modelo OSI foi criado em 1984?","Para permitir a conexão de diferentes redes e garantir compatibilidade entre hardwares e softwares","Para padronizar as redes existentes","Para oferecer um framework de compatibilidade entre hardwares e softwares","Para gerenciar as sessões de comunicação entre dispositivos","Para dividir as redes em 7 camadas que descrevem funções",1
92,"O que a camada de aplicação proporciona aos usuários e qual é um exemplo de protocolo que opera nessa camada?","Serviços de rede ao usuário final / HTTP","Acesso a recursos de comunicação / DNS","Segurança e criptografia de dados / SMTP","Controle de fluxo / POP3","Gerenciamento de conexões / FTP",1
93,"Qual é a função principal da camada de apresentação no modelo OSI?","Processamento e conversão dos dados de um formato para o outro","Garantir a entrega dos dados sem erros","Definir e manter a sessão de comunicação entre dispositivos","Realizar a divisão dos dados, controle de fluxo e correção de erros","Lidar com a divisão dos dados, controle de fluxo, correção de erros, compartilhamento da conexão e estabelecimento/encerramento das conexões",1
94,"Qual é a principal responsabilidade da camada de sessão na rede?","Estabelecer, gerenciar e encerrar sessões de comunicação entre os dispositivos de rede","Garantir a entrega dos dados sem erros e na ordem correta","Coordenar a transferência de dados entre os dispositivos","Garantir a divisão dos dados, controle do fluxo e correção de erros","Processar e converter os dados de um formato para o outro",1
95,"O que diferencia o TCP do UDP em termos de confiabilidade na entrega de dados?","O TCP é um protocolo confiável e orientado à conexão, enquanto o UDP é não confiável e sem conexão","O TCP não garante a entrega dos dados, enquanto o UDP garante a ordem correta","O UDP oferece mecanismos de controle de fluxo e controle de congestionamento em comparação com o TCP","O TCP é comumente utilizado em aplicações de streaming de áudio e vídeo, enquanto o UDP é utilizado em transferência de arquivos","O UDP é amplamente utilizado em aplicações que requerem uma entrega precisa dos dados",1
96,"Qual é a principal tarefa da camada de transporte no modelo OSI?","Garantir que os dados sejam enviados de forma segura, eficiente e confiável entre os computadores em uma rede","Oferecer serviços de rede ao usuário final","Realizar a divisão dos dados, controle do fluxo e correção de erros","Processar e converter os dados de um formato para o outro","Estabelecer, gerenciar e encerrar sessões de comunicação entre os dispositivos de rede",1
97,"Quais são os protocolos mais conhecidos que operam na camada de transporte?","TCP e UDP","HTTP e SMTP","DNS e POP3","FTP e SIP","IP e ICMP",1
98,"Qual é a principal função do protocolo UDP em uma rede?","Prover velocidade e eficiência na transmissão de dados","Garantir a entrega dos dados sem erros e na ordem correta","Oferecer mecanismos de controle de fluxo e congestionamento","Proporcionar uma entrega precisa dos dados como o TCP","Criptografar os dados enviados entre redes",1
99,"O que a camada de sessão faz para garantir que os dados sejam transmitidos corretamente e na ordem certa?","Coordena a transferência de dados entre os dispositivos e garante a transmissão correta dos dados","Processa e converte os dados de um formato para o outro","Divide os dados, controla o fluxo e corrige erros","Estabelece e encerra sessões de comunicação entre dispositivos","Cuida da criptografia e descriptografia dos dados enviados e recebidos",1
100,"Quais as principais características do protocolo TCP em comparação com o UDP?","O TCP é um protocolo confiável e orientado à conexão, garantindo a entrega dos dados sem erros e na ordem correta","Oferece mecanismos de controle de fluxo e congestionamento para garantir uma transmissão eficiente dos dados","Já o UDP é um protocolo não confiável e sem conexão, utilizado em situações em que a velocidade é mais importante que a entrega precisa dos dados","O TCP é amplamente utilizado em aplicações que requerem uma entrega precisa dos dados, enquanto o UDP é comumente utilizado em transmissões em tempo real","O UDP é mais comumente utilizado em streaming de áudio e vídeo, jogos online e transmissões em tempo real",1
101,"Qual é o objetivo principal da camada de apresentação no modelo OSI?","Garantir que os dados sejam convertidos e processados de um formato para o outro","Controlar o acesso exclusivo aos recursos de comunicação","Estabelecer e gerenciar sessões de comunicação entre dispositivos","Dividir os dados, controlar o fluxo e corrigir erros","Permitir que diferentes redes possam ser conectadas",1
102,"O que é o modelo OSI e por que foi criado?","Um framework que garante compatibilidade entre hardwares e softwares de rede, criado para padronizar as redes existentes","Um framework de controle de tráfego de dados, criado para prevenir erros de comunicação","Uma série de fornecedores que permitiu a conectividade entre diferentes dispositivos de hardware","Uma série de camadas interconectadas que garantem a confiabilidade na entrega de dados","Um sistema de controle de invasões desenvolvido para proteger redes contra ameaças externas",1
103,"A qual camada do modelo OSI pertence o protocolo HTTP?","Camada de Aplicação","Camada de Apresentação","Camada de Sessão","Camada de Rede","Camada de Transporte",1
104,"Qual é a principal tarefa da camada de transporte no modelo OSI?","Garantir a entrega dos dados de forma segura, eficiente e confiável entre computadores em uma rede","Oferecer serviços de rede ao usuário final","Controlar o acesso exclusivo aos recursos de comunicação","Realizar a divisão dos dados, controle do fluxo e correção de erros","Garantir a transmissão correta dos dados sem erros",1
105,"O que diferencia o protocolo TCP do protocolo UDP em relação à entrega de dados?","O TCP é confiável e orientado à conexão, enquanto o UDP é não confiável e sem conexão","O UDP é amplamente utilizado em aplicações que requerem entrega precisa dos dados, enquanto o TCP é utilizado em transmissões em tempo real","O TCP garante a entrega dos dados sem erros e na ordem correta, enquanto o UDP oferece mecanismos de controle de fluxo e congestionamento","O UDP é utilizado em situações em que a velocidade e a eficiência são mais importantes que a entrega precisa dos dados","O TCP é amplamente utilizado em aplicações que requerem entrega precisa dos dados, enquanto o UDP é utilizado em aplicações que requerem entrega precisa de voz",1
106,"A camada de sessão estabelece uma conexão lógica entre os aplicativos em diferentes dispositivos. Essa comparação é usada para destacar a semelhança entre a camada de sessão e qual atividade humana?","Fazer uma ligação telefônica","Enviar um e-mail","Navegar na internet","Assistir a um filme","Escrever um documento de texto",1
107,"Qual é a principal responsabilidade da camada de aplicação no modelo OSI?","Fornece serviços de rede ao usuário final","Realiza a divisão dos dados, controle do fluxo e correção de erros","Cuida da criptografia e descriptografia dos dados","Estabelece e gerencia sessões de comunicação entre dispositivos","Garante que os dados sejam enviados de forma segura, eficiente e confiável",1
108,"O que a camada de sessão faz para garantir que os dados sejam transmitidos corretamente e na ordem certa?","Coordena a transferência de dados entre dispositivos e garante a transmissão correta dos dados","Realiza a divisão dos dados, controle do fluxo e correção de erros","Processa e converte os dados de um formato para o outro","Estabelece e encerra sessões de comunicação entre dispositivos","Garante que os dados sejam criptografados para garantir a segurança da transmissão",1
109,"O que é o modelo OSI e por que foi criado?","Um framework que garante compatibilidade entre hardwares e softwares de rede, criado para padronizar as redes existentes","Um protocolo orientado à voz, criado para transmissões em tempo real","Uma camada que controla o fluxo e a ordem dos dados, criado para garantir a eficiência na transmissão","Uma rede que lida com o estabelecimento, gerenciamento e término das sessões de comunicação entre dispositivos","Uma série de camadas interconectadas que garantem a confiabilidade na entrega de dados",1
110,"Qual é uma das principais características do protocolo UDP?","É um protocolo não confiável e sem conexão, utilizado em situações em que a velocidade e a eficiência são mais importantes que a entrega precisa dos dados","É um protocolo confiável e orientado à conexão, amplamente utilizado em aplicações que requerem uma entrega precisa dos dados","É um protocolo que garante a entrega dos dados sem erros e na ordem correta, utilizado em transmissões em tempo real","É um protocolo que oferece mecanismos de controle de fluxo e congestionamento para garantir uma transmissão eficiente dos dados","É um protocolo amplamente utilizado em aplicações que requerem entrega precisa de voz",1
111,"Qual é a responsabilidade principal da camada de redes?","Dividir a mensagem em pacotes, endereçá-los, escolher o caminho correto e controlar o congestionamento","Garantir a transmissão correta dos dados entre dois dispositivos na rede","Criptografar os dados antes da transmissão","Estabelecer e gerenciar sessões de comunicação entre os dispositivos de rede","Cuidar do acesso ao meio de comunicação",1
112,"O que a camada de enlace faz para garantir a transmissão correta dos dados entre dispositivos?","Controla o fluxo e corrige erros durante a transmissão","Coordena a transferência de dados entre diferentes dispositivos","Divide a mensagem em pacotes e escolhe o melhor caminho para a transmissão","Cuida do acesso ao meio de comunicação, evitando que múltiplos dispositivos falem ao mesmo tempo","Garante que os pacotes sejam enviados de forma organizada e evita que se percam pelo caminho",1
